# ==========================================
# 1. LLISTA D'EQUIPS
# ==========================================
#EQUIP;A;Catalunya
#EQUIP;A;Espanya
#EQUIP;A;França
#EQUIP;A;Portugal
#EQUIP;B;Cap Verd
#EQUIP;B;Alemanya
#EQUIP;B;Senegal
#EQUIP;B;Marroc

# ==========================================
# 2. CALENDARI I RESULTATS
# ==========================================
grup;equip1;gols1;equip2;gols2
A;Catalunya;3;Espanya;0
A;França;1;Portugal;1
B;Cap Verd;0;Alemanya;0
B;Senegal;2;Marroc;1
A;Catalunya;2;França;1
A;Espanya;0;Portugal;2
A;Catalunya;1;Portugal;1
A;Espanya;2;França;3
B;Cap Verd;1;Senegal;3
B;Alemanya;2;Marroc;0
B;Cap Verd;2;Marroc;2
B;Alemanya;1;Senegal;1
QUARTS;Catalunya;3;Marroc;1
QUARTS;Senegal;2;Espanya;1
QUARTS;Portugal;2;Cap Verd;1
QUARTS;Alemanya;1;França;2
SEMIS;Catalunya;3;Senegal;1
SEMIS;Portugal;1;França;3
FINAL;Catalunya;3;França;0
